raion,Номер дільниці,"1) Кількість виборчих бюлетенів для голосування, одержаних ДВК","2) Кількість виборців, внесених до списку виборців на виборчій дільниці","3) Кількість виборців, внесених на виборчій дільниці до витягу із списків виборців для голосування за місцем перебування",4) Кількість невикористаних виборчих бюлетенів,"5) Кількість виборців, які отримали виборчі бюлетені у приміщенні для голосування","6) Кількість виборців, які отримали виборчі бюлетені за місцем перебування","7) Загальна кількість виборців, які отримали виборчі бюлетені","8) Кількість виборчих бюлетенів, що не підлягають врахуванню","9) Кількість виборців, які взяли участь у голосуванні","10) Кількість виборчих бюлетенів, визнаних недійсними",Василь Гошовський,Ігор Жижиян,Олексій Каспрук,Вячеслав Кишлярук,Сергій Козак,Олексій Коломієць,Ярослав Кушнірик,Віталій Мельничук,Віталій Михайлішин,Олександр Пуршага,Михайло Сеничак,Наталія Стрельчук,Валерій Топало,Веніамін Юдицький,Наталія Якимчук,"12) Загальна кількість голосів виборців, поданих за кандидатів"
Першотравневий,730446,1792 ,1776 ,24 ,1079 ,692 ,21 ,713 ,0 ,712 ,14 ,30 ,4 ,265 ,10 ,15 ,30 ,12 ,29 ,196 ,47 ,13 ,6 ,4 ,4 ,33 ,698 
Першотравневий,730447,2281 ,2267 ,22 ,1350 ,918 ,13 ,931 ,0 ,931 ,31 ,42 ,1 ,304 ,13 ,17 ,39 ,14 ,34 ,311 ,48 ,22 ,0 ,4 ,5 ,46 ,900 
Першотравневий,730448,2390 ,2372 ,13 ,1911 ,471 ,8 ,479 ,0 ,479 ,17 ,17 ,3 ,173 ,6 ,13 ,8 ,14 ,25 ,126 ,30 ,6 ,3 ,4 ,2 ,32 ,462 
Першотравневий,730449,2098 ,2081 ,20 ,1335 ,749 ,14 ,763 ,0 ,763 ,22 ,26 ,4 ,271 ,5 ,14 ,14 ,22 ,23 ,255 ,38 ,20 ,6 ,3 ,7 ,33 ,741 
Першотравневий,730450,2114 ,2090 ,24 ,1379 ,724 ,11 ,735 ,0 ,735 ,19 ,33 ,1 ,284 ,15 ,18 ,6 ,24 ,27 ,195 ,39 ,22 ,3 ,0 ,3 ,46 ,716 
Першотравневий,730451,855 ,849 ,13 ,486 ,364 ,5 ,369 ,0 ,369 ,10 ,6 ,0 ,148 ,11 ,5 ,3 ,4 ,19 ,107 ,18 ,10 ,2 ,3 ,2 ,21 ,359 
Першотравневий,730452,902 ,895 ,16 ,514 ,380 ,8 ,388 ,0 ,388 ,18 ,7 ,2 ,172 ,10 ,7 ,4 ,9 ,13 ,105 ,15 ,8 ,2 ,1 ,0 ,15 ,370 
Першотравневий,730453,968 ,962 ,13 ,553 ,409 ,6 ,415 ,0 ,415 ,14 ,6 ,2 ,160 ,4 ,5 ,5 ,15 ,22 ,106 ,15 ,16 ,4 ,3 ,4 ,34 ,401 
Першотравневий,730454,1111 ,1107 ,14 ,663 ,436 ,12 ,448 ,0 ,448 ,19 ,15 ,2 ,207 ,10 ,8 ,5 ,17 ,15 ,89 ,19 ,11 ,3 ,2 ,1 ,25 ,429 
Першотравневий,730455,1065 ,1053 ,18 ,689 ,365 ,11 ,376 ,0 ,376 ,8 ,18 ,2 ,150 ,9 ,9 ,4 ,9 ,11 ,91 ,17 ,9 ,3 ,0 ,2 ,34 ,368 
Першотравневий,730456,1777 ,1762 ,24 ,1098 ,664 ,15 ,679 ,0 ,679 ,16 ,29 ,2 ,292 ,12 ,14 ,12 ,15 ,26 ,157 ,27 ,26 ,2 ,6 ,6 ,37 ,663 
Першотравневий,730457,2073 ,2038 ,24 ,1274 ,780 ,19 ,799 ,0 ,799 ,23 ,25 ,5 ,334 ,18 ,21 ,11 ,20 ,23 ,184 ,44 ,35 ,4 ,3 ,2 ,47 ,776 
Першотравневий,730458,1586 ,1569 ,18 ,1016 ,558 ,12 ,570 ,0 ,570 ,11 ,15 ,2 ,248 ,4 ,10 ,10 ,24 ,24 ,135 ,37 ,21 ,4 ,0 ,5 ,20 ,559 
Першотравневий,730459,2021 ,2031 ,18 ,970 ,1040 ,11 ,1051 ,0 ,1051 ,35 ,25 ,6 ,314 ,17 ,18 ,9 ,17 ,37 ,414 ,61 ,21 ,4 ,7 ,11 ,55 ,1016 
Першотравневий,730460,2187 ,2171 ,19 ,953 ,1219 ,15 ,1234 ,0 ,1234 ,50 ,39 ,4 ,272 ,29 ,27 ,13 ,18 ,31 ,604 ,42 ,22 ,5 ,3 ,16 ,59 ,1184 
Першотравневий,730461,2303 ,2317 ,10 ,1497 ,802 ,4 ,806 ,0 ,806 ,28 ,96 ,8 ,235 ,11 ,18 ,29 ,17 ,43 ,186 ,26 ,21 ,10 ,6 ,17 ,55 ,778 
Першотравневий,730462,1771 ,1764 ,9 ,1166 ,599 ,6 ,605 ,0 ,605 ,24 ,48 ,5 ,242 ,10 ,18 ,11 ,9 ,21 ,133 ,34 ,20 ,2 ,3 ,1 ,24 ,581 
Першотравневий,730463,2300 ,2287 ,14 ,1428 ,861 ,11 ,872 ,0 ,872 ,25 ,39 ,5 ,338 ,12 ,22 ,12 ,32 ,24 ,227 ,31 ,28 ,11 ,1 ,20 ,45 ,847 
Першотравневий,730464,1141 ,1133 ,4 ,681 ,459 ,1 ,460 ,0 ,460 ,15 ,17 ,3 ,193 ,7 ,11 ,8 ,10 ,13 ,87 ,28 ,18 ,5 ,1 ,2 ,42 ,445 
Першотравневий,730465,2306 ,2284 ,10 ,1607 ,692 ,7 ,699 ,0 ,699 ,25 ,35 ,3 ,242 ,7 ,20 ,15 ,17 ,37 ,181 ,36 ,18 ,4 ,1 ,5 ,53 ,674 
Першотравневий,730466,1974 ,1963 ,6 ,1187 ,782 ,5 ,787 ,0 ,787 ,19 ,49 ,4 ,306 ,6 ,17 ,8 ,14 ,31 ,200 ,35 ,28 ,7 ,4 ,4 ,55 ,768 
Першотравневий,730467,1942 ,1934 ,7 ,1163 ,772 ,7 ,779 ,0 ,779 ,26 ,28 ,6 ,326 ,27 ,22 ,12 ,18 ,23 ,148 ,39 ,29 ,6 ,3 ,6 ,60 ,753 
Першотравневий,730468,2146 ,2130 ,15 ,1304 ,833 ,9 ,842 ,0 ,842 ,25 ,36 ,4 ,299 ,15 ,19 ,16 ,15 ,31 ,254 ,49 ,24 ,6 ,4 ,6 ,39 ,817 
