raion,Номер дільниці,"1) Кількість виборчих бюлетенів для голосування, одержаних ДВК","2) Кількість виборців, внесених до списку виборців на виборчій дільниці","3) Кількість виборців, внесених на виборчій дільниці до витягу із списків виборців для голосування за місцем перебування",4) Кількість невикористаних виборчих бюлетенів ,"5) Кількість виборців, які отримали виборчі бюлетені у приміщенні для голосування","6) Кількість виборців, які отримали виборчі бюлетені за місцем перебування","7) Загальна кількість виборців, які отримали виборчі бюлетені","8) Кількість виборчих бюлетенів, що не підлягають врахуванню ","9) Кількість виборців, які взяли участь у голосуванні","10) Кількість виборчих бюлетенів, визнаних недійсними",Олексій Каспрук,Віталій Михайлішин,"12) Загальна кількість голосів виборців, поданих за кандидатів"
Першотравневий,730446,1788,1782,27,1228,538,22,560,0,560,18,345,197,542
Першотравневий,730447,2292,2264,21,1609,667,16,683,0,683,23,368,292,660
Першотравневий,730448,2380,2365,13,2012,362,6,368,0,368,9,238,121,359
Першотравневий,730449,2102,2081,20,1540,547,15,562,0,562,17,308,237,545
Першотравневий,730450,2120,2100,25,1505,605,10,615,0,615,18,362,235,597
Першотравневий,730451,858,849,13,554,294,10,304,0,304,12,170,122,292
Першотравневий,730452,903,898,18,585,305,13,318,0,318,9,198,111,309
Першотравневий,730453,981,965,13,650,324,7,331,0,331,17,203,111,314
Першотравневий,730454,1107,1103,14,743,352,12,364,0,364,7,251,106,357
Першотравневий,730455,1069,1051,17,764,293,12,305,0,305,5,206,94,300
Першотравневий,730456,1778,1752,23,1243,525,10,535,0,535,20,357,158,515
Першотравневий,730457,2051,2034,23,1439,594,18,612,0,612,12,388,212,600
Першотравневий,730458,1584,1564,18,1152,418,14,432,0,432,19,279,134,413
Першотравневий,730459,2041,2021,17,1325,703,13,716,0,716,23,374,319,693
Першотравневий,730460,2170,2176,19,1279,877,14,891,0,891,28,359,504,863
Першотравневий,730461,2279,2331,9,1873,402,4,406,0,406,11,290,105,395
Першотравневий,730462,1771,1767,9,1385,381,5,386,0,386,8,255,123,378
Першотравневий,730463,2285,2297,14,1596,681,8,689,0,689,23,412,254,666
Першотравневий,730464,1128,1133,4,784,343,1,344,0,344,8,236,100,336
Першотравневий,730465,2296,2287,10,1825,465,6,471,0,471,13,286,172,458
Першотравневий,730466,1967,1967,7,1453,509,5,514,0,514,15,334,165,499
Першотравневий,730467,1934,1934,7,1392,535,7,542,0,542,14,380,148,528
