Номер округу,raion,Номер дільниці,"1) Кількість виборчих бюлетенів для голосування, одержаних ДВК","2) Кількість виборців, внесених до списку виборців на виборчій дільниці","3) Кількість виборців, внесених на виборчій дільниці до витягу із списків виборців для голосування за місцем перебування",4) Кількість невикористаних виборчих бюлетенів ,"5) Кількість виборців, які отримали виборчі бюлетені у приміщенні для голосування","6) Кількість виборців, які отримали виборчі бюлетені за місцем перебування","7) Загальна кількість виборців, які отримали виборчі бюлетені","8) Кількість виборчих бюлетенів, що не підлягають врахуванню ","9) Кількість виборців, які взяли участь у голосуванні","10) Кількість виборчих бюлетенів, визнаних недійсними",ВО Батьківщина,Зелений тризуб,Автомайдан,УКРОП,Аграрна партія України,Сила людей,Самопоміч,БПП Солідарність,Нова держава,Соціалісти,Козацька партія України,Радикальна партія Олега Ляшка,Громада і закон,Рідне місто,Народний контроль,Опозиційний блок,ВО Свобода,Громадянська позиція,Наш край,Відродження,"12) Загальна кількість голосів виборців, поданих за кандидатів"
1,Першотравневий,730446,1780,1776,24,1067,692,21,713,0,713,23,102,10,124,28,14,0,44,51,5,1,1,28,3,172,44,7,38,5,11,2,690
1,Першотравневий,730447,2301,2267,22,1370,918,13,931,0,931,32,88,5,209,25,10,5,44,67,5,2,2,23,0,272,66,18,30,18,7,3,899
2,Першотравневий,730448,2401,2372,13,1922,471,8,479,0,479,21,66,7,8,27,9,4,44,49,1,0,4,23,6,98,25,15,43,9,18,2,458
2,Першотравневий,730449,2114,2081,20,1351,749,14,763,0,762,30,90,5,18,18,18,4,58,100,7,3,4,25,4,174,57,21,69,11,39,8,733
3,Першотравневий,730450,2115,2090,24,1380,724,11,735,0,735,32,79,9,9,48,7,12,85,113,4,4,4,31,2,118,57,15,61,28,14,3,703
3,Першотравневий,730451,855,849,13,486,364,5,369,0,369,22,29,3,6,19,1,2,39,57,8,4,2,7,1,73,22,16,39,14,3,2,347
3,Першотравневий,730452,902,895,16,514,380,8,388,0,388,29,46,6,9,15,4,2,52,60,1,1,1,11,3,61,25,10,24,12,11,5,359
3,Першотравневий,730453,975,962,13,560,409,6,415,0,415,28,49,3,10,18,1,4,54,55,3,2,2,14,1,63,27,24,38,8,8,3,387
4,Першотравневий,730454,1111,1107,14,663,436,12,448,0,448,26,55,5,3,19,4,6,59,73,2,4,7,15,2,56,34,10,40,12,15,1,422
4,Першотравневий,730455,1065,1053,18,689,365,11,376,0,376,12,45,0,22,17,4,0,38,60,2,2,1,12,1,56,31,16,39,11,5,2,364
