oblast;party;votes
Вінницька;БПП Солідарність;1768320
Вінницька;ВО Батьківщина;1126010
Вінницька;Радикальна партія Олега Ляшка;617510
Вінницька;Самопоміч;454180
Вінницька;ВО Свобода;416700
Вінницька;Аграрна партія України;405450
Вінницька;Опозиційний блок;376560
Вінницька;УКРОП;358890
Вінницька;Народний контроль;250780
Вінницька;Наш край;206500
Вінницька;Нова держава;55940
Вінницька;Соціалісти;42700
Волинська;УКРОП;901950
Волинська;БПП Солідарність;733080
Волинська;ВО Батьківщина;656780
Волинська;ВО Свобода;358250
Волинська;Радикальна партія Олега Ляшка;340170
Волинська;Самопоміч;267930
Волинська;Наш край;213050
Волинська;Аграрна партія України;192180
Волинська;Громадянська позиція;134280
Волинська;Народний контроль;105090
Волинська;Опозиційний блок;77660
Волинська;Європейська партія України;49510
Волинська;Партія зелених України;31570
Волинська;Нова держава;31010
Волинська;Соціалісти;24110
Дніпропетровська;Опозиційний блок;3590040
Дніпропетровська;УКРОП;1943470
Дніпропетровська;БПП Солідарність;1089960
Дніпропетровська;Відродження;830210
Дніпропетровська;ВО Батьківщина;704990
Дніпропетровська;Радикальна партія Олега Ляшка;643220
Дніпропетровська;Самопоміч;604360
Дніпропетровська;Громадська сила;330220
Дніпропетровська;ВО Свобода;284040
Дніпропетровська;Наш край;182940
Дніпропетровська;Народний контроль;168520
Дніпропетровська;Соціалісти;141810
Дніпропетровська;Відродження України;100080
Житомирська;БПП Солідарність;987260
Житомирська;ВО Батьківщина;770650
Житомирська;Опозиційний блок;386070
Житомирська;Радикальна партія Олега Ляшка;375580
Житомирська;Самопоміч;345320
Житомирська;Народна партія;314230
Житомирська;УКРОП;301050
Житомирська;ВО Свобода;283160
Житомирська;Аграрна партія України;204400
Житомирська;Нова держава;123460
Житомирська;Партія простих людей Сергія Капліна;122450
Житомирська;Наш край;107270
Житомирська;Республіканська платформа;77600
Житомирська;Патріотична партія України;69230
Житомирська;Відродження;65290
Житомирська;Соціалісти;36140
Закарпатська;Єдиний центр;1002110
Закарпатська;БПП Солідарність;793930
Закарпатська;Відродження;564900
Закарпатська;КМКС Партія угорців України;415170
Закарпатська;ВО Батьківщина;377510
Закарпатська;Опозиційний блок;236890
Закарпатська;Радикальна партія Олега Ляшка;203210
Закарпатська;Самопоміч;172950
Закарпатська;ВО Свобода;145010
Закарпатська;Наш край;143390
Закарпатська;УКРОП;142070
Закарпатська;Аграрна партія України;69680
Закарпатська;Зелена планета;47310
Закарпатська;За Права Людини;45770
Закарпатська;Соціалісти;22910
Закарпатська;Спільна дія;14210
Запорізька;Опозиційний блок;1743920
Запорізька;БПП Солідарність;806970
Запорізька;Наш край;618220
Запорізька;ВО Батьківщина;512410
Запорізька;УКРОП;435200
Запорізька;Радикальна партія Олега Ляшка;387530
Запорізька;Самопоміч;366880
Запорізька;Нова політика;332550
Запорізька;Аграрна партія України;288630
Запорізька;"Партія Сергія Тігіпка ""Сильна Україна""";151570
Запорізька;ВО Свобода;138200
Запорізька;Відродження;135330
Запорізька;Соціалісти;59190
Івано-Франківська;БПП Солідарність;1184180
Івано-Франківська;ВО Батьківщина;902320
Івано-Франківська;ВО Свобода;811440
Івано-Франківська;УКРОП;591930
Івано-Франківська;Самопоміч;402610
Івано-Франківська;Воля;359290
Івано-Франківська;Радикальна партія Олега Ляшка;254860
Івано-Франківська;Громадянська позиція;225840
Івано-Франківська;Народний контроль;165780
Івано-Франківська;Українська народна партія;165600
Івано-Франківська;Народний рух України;162340
Івано-Франківська;Наш край;109850
Івано-Франківська;Опозиційний блок;38640
Івано-Франківська;Українська Галицька Партія;35260
Івано-Франківська;Соціалісти;17900
Київська;БПП Солідарність;1563780
Київська;ВО Батьківщина;1196190
Київська;Самопоміч;633650
Київська;Радикальна партія Олега Ляшка;633110
Київська;УКРОП;556440
Київська;Наш край;510420
Київська;ВО Свобода;506890
Київська;Опозиційний блок;383880
Київська;Нові обличчя;332750
Київська;Сила людей;170090
Київська;Аграрна партія України;169530
Київська;Громадянська позиція;118750
Київська;Єдність;73880
Київська;Соціалісти;29560
Кіровоградська;БПП Солідарність;694030
Кіровоградська;ВО Батьківщина;660310
Кіровоградська;Опозиційний блок;633050
Кіровоградська;Радикальна партія Олега Ляшка;287220
Кіровоградська;УКРОП;244320
Кіровоградська;Самопоміч;207750
Кіровоградська;ВО Свобода;174280
Кіровоградська;Наш край;173700
Кіровоградська;Партія пенсіонерів України;112080
Кіровоградська;Аграрна партія України;97750
Кіровоградська;Народний контроль;83560
Кіровоградська;Соціалісти;30310
Львівська;БПП Солідарність;2246790
Львівська;Самопоміч;1553370
Львівська;ВО Свобода;1353440
Львівська;ВО Батьківщина;957480
Львівська;Громадянська позиція;850720
Львівська;УКРОП;650280
Львівська;Радикальна партія Олега Ляшка;588030
Львівська;Народний контроль;549500
Львівська;Народний рух України;526960
Львівська;Українська Галицька Партія;338480
Львівська;Наш край;326200
Львівська;Воля;252350
Львівська;Сила людей;117520
Львівська;Опозиційний блок;97340
Львівська;Українська республіканська партія;59620
Львівська;Єдиний центр;46170
Миколаївська;Опозиційний блок;750030
Миколаївська;БПП Солідарність;657340
